ID,Date Created,Action,Size,Symbol,Order Price,Type,Status,Fill Price,Fill/Cancelled Date
87,2020-04-24,SELL,100,IVV,286.7389938354492,LMT,FILLED,286.7389938354492,2020-04-27
88,2020-04-27,BUY,100,IVV,288.19000244140625,MKT,FILLED,288.19000244140625,2020-04-27
89,2020-04-27,SELL,100,IVV,291.0719024658203,LMT,FILLED,291.0719024658203,2020-04-28
90,2020-04-28,BUY,100,IVV,286.6400146484375,MKT,FILLED,286.6400146484375,2020-04-28
91,2020-04-28,SELL,100,IVV,289.50641479492185,LMT,FILLED,289.50641479492185,2020-05-05
92,2020-04-29,BUY,100,IVV,294.1300048828125,MKT,FILLED,294.1300048828125,2020-04-29
93,2020-04-29,SELL,100,IVV,297.0713049316406,LMT,FILLED,288.6300048828125,2020-05-07
94,2020-04-30,BUY,100,IVV,291.1600036621094,MKT,FILLED,291.1600036621094,2020-04-30
95,2020-04-30,SELL,100,IVV,294.0716036987305,LMT,FILLED,293.4599914550781,2020-05-08
96,2020-05-01,BUY,100,IVV,283.5299987792969,MKT,FILLED,283.5299987792969,2020-05-01
97,2020-05-01,SELL,100,IVV,286.3652987670898,LMT,FILLED,286.3652987670898,2020-05-06
98,2020-05-04,BUY,100,IVV,284.6300048828125,MKT,FILLED,284.6300048828125,2020-05-04
99,2020-05-04,SELL,100,IVV,287.47630493164064,LMT,FILLED,287.47630493164064,2020-05-05
100,2020-05-05,BUY,100,IVV,287.1400146484375,MKT,FILLED,287.1400146484375,2020-05-05
101,2020-05-05,SELL,100,IVV,290.0114147949219,LMT,FILLED,290.0114147949219,2020-05-07
102,2020-05-06,BUY,100,IVV,285.25,MKT,FILLED,285.25,2020-05-06
103,2020-05-06,SELL,100,IVV,288.1025,LMT,FILLED,288.1025,2020-05-07
104,2020-05-07,BUY,100,IVV,288.6300048828125,MKT,FILLED,288.6300048828125,2020-05-07
105,2020-05-07,SELL,100,IVV,291.5163049316406,LMT,FILLED,291.5163049316406,2020-05-08
106,2020-05-08,BUY,100,IVV,293.4599914550781,MKT,FILLED,293.4599914550781,2020-05-08
107,2020-05-08,SELL,100,IVV,296.3945913696289,LMT,FILLED,296.0400085449219,2020-05-18
